Title,SJR,H index,IPP,SNIP,Est. value (USD) (2023),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Ref. / Doc.,Coverage_Duration,Publisher,Labels
SIAM Journal on Applied Algebra and Geometry,1.021,21,1.712328767,1.697678505,349687,0.072580645,0.263888889,40.16,9,Society for Industrial and Applied Mathematics Publications,1
Computation,0.409,34,2.278017241,0.946251775,2188837,0.063973064,0.284188034,44.04,13,Multidisciplinary Digital Publishing Institute (MDPI),0
Journal of Medical Robotics Research,0.208,18,0.741935484,0.310762566,64969,0.114285714,0.483870968,35.83,10,World Scientific,1
Croatian Operational Research Review,0.208,11,0.839285714,0.632275092,247471,0.083333333,0.589285714,29.88,9,Croatian Operational Research Society,0
Rendiconti di Matematica e delle Sue Applicazioni,0.179,9,0.48,0.474245026,161708,0,0.641025641,31.6,9,Sapienza Universita di Roma,0
Communication in Biomathematical Sciences,0.282,10,1.677419355,0.358204647,66681,0.203703704,0.40625,33.75,8,Indonesian Biomathematical Society,1
Statistics and Public Policy,0.405,18,1.53125,1.182675547,172033,0.068965517,0.46875,29.43,12,Taylor and Francis Inc.,1
Investigacion Operacional,0.178,17,0.661375661,0.521841252,771264,0.049689441,0.744791667,26.42,14,Universidad de La Habana,0
International Journal of Computational Geometry and Applications,0.163,41,0.535714286,0.78895694,134653,0,0.607142857,14.9,29,World Scientific,1
Journal of Mathematical Sciences,0.302,45,0.364873222,0.522701224,7339201,0.147011309,0.762430939,19.03,32,Springer Science and Business Media Deutschland GmbH,1
Journal of Applied Probability and Statistics,0.202,10,0.58490566,0.379933394,229933,0.054054054,0.719298246,25.67,13,ISOSS PUBLICATIONS,0
International Journal of Solids and Structures,0.988,207,3.675742574,1.298489129,6516637,0.067032967,0.157679739,51.73,61,Elsevier Ltd,1
Applied Mathematics and Information Sciences,0.266,49,0.970491803,0.48787054,1542338,0.050595238,0.550819672,28.95,19,Natural Sciences Publishing,0
Journal of Analysis and Applications,0.128,7,0.321428571,0.665574216,106061,0.125,0.821428571,11.89,15,SAS International Publications,0
International Journal of Power and Energy Systems,0.161,19,0.47826087,0.215415056,204191,0.103448276,0.608695652,21.4,29,Acta Press,1
Calculus of Variations and Partial Differential Equations,2.357,87,2.338533541,1.711860107,4345138,0.067888663,0.303738318,36.98,33,Springer New York,1
Advances in Continuous and Discrete Models,0.504,80,2.402777778,1.006850068,134966,0.002196729,0.2632,35.46,4,Springer Science and Business Media Deutschland GmbH,1
Games,0.289,24,0.844827586,0.402916414,992744,0.08,0.556485356,35.15,15,Multidisciplinary Digital Publishing Institute (MDPI),0
System Research and Information Technologies,0.144,7,0.323809524,0.319076235,302601,0.204081633,0.742857143,23.14,6,National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute,0
Australian Journal of Mathematical Analysis and Applications,0.197,13,0.404494382,0.33555427,336682,0,0.722222222,17.26,17,Australian Internet Publishing,0
International Journal of Difference Equations,0.14,4,0.222222222,0.064400971,20747,0,0.777777778,0,3,Research India Publications,0
Celestial Mechanics and Dynamical Astronomy,0.521,69,1.56969697,1.172745447,872475,0.099315068,0.275449102,34.18,37,Springer Netherlands,1
Markov Processes and Related Fields,0.233,11,0.386363636,0.49292884,321557,0.057142857,0.774193548,23.16,13,Polymat,0
International Journal of Mathematical Modelling and Numerical Optimisation,0.197,16,0.85483871,0.604327721,254456,0.122807018,0.532258065,36.1,16,Inderscience,1
Foundations of Computational Mathematics,2.546,71,3.292307692,2.345129777,756540,0.010940919,0.213114754,54.32,25,Springer New York,1
Communications on Pure and Applied Mathematics,4.188,127,3.948717949,3.031851787,1184884,0.015923567,0.180645161,46.01,78,Wiley-Liss Inc.,1
Nonlinear Studies,0.213,22,0.509009009,0.374094577,909185,0.040650407,0.725225225,26.47,14,Cambridge Scientific Publishers,0
Reliability Engineering and System Safety,2.028,196,9.123384254,2.366939268,10231278,0.302666829,0.026346604,51.98,39,Elsevier Ltd,1
Communications on Applied Mathematics and Computation,0.662,14,1.625,0.984848558,405023,0.042553191,0.412698413,33.27,7,Springer,1
Applied and Computational Harmonic Analysis,2.231,100,2.384259259,1.68140612,1356631,0.054812834,0.286307054,40.09,33,Academic Press Inc.,1
Electronics and Communications in Japan,0.152,30,0.373239437,0.172776955,628374,0,0.753521127,16.59,19,Wiley-Blackwell,0
Journal of Japan Industrial Management Association,0.143,11,0.268656716,0.306995368,254068,0.181818182,0.768115942,21.76,22,Nihon Keikei Kogakkai,0
AStA Advances in Statistical Analysis,0.48,35,1.470588235,1.10289756,418925,0.063157895,0.435294118,35.65,18,Springer Verlag,1
Communications in Mathematical Sciences,0.756,66,1.141791045,0.833538351,1473670,0.042071197,0.470588235,34.41,23,"International Press of Boston, Inc.",1
"Designs, Codes, and Cryptography",1.142,72,1.95620438,1.740157753,2617604,0.108974359,0.354916067,30.83,35,Springer Netherlands,1
"Journal of Optimization, Differential Equations and their Applications",0.318,6,1.321428571,1.364692019,95418,0.558139535,0.357142857,21.43,7,Oles Honchar Dnipro National University,1
Scientific Annals of Computer Science,0.162,12,0.565217391,0.653648549,101718,0.166666667,0.68,20.75,16,Alexandru Ioan Cuza University of Iasi,0
Moroccan Journal of Pure and Applied Analysis,0.297,8,0.790123457,0.929937806,217672,0.015384615,0.567901235,21.59,5,Sciendo,0
Journal of Computer and Systems Sciences International,0.344,25,0.673553719,0.749734748,1112231,0.221105528,0.561983471,20.38,32,Pleiades Publishing,1
Poincare Journal of Analysis and Applications,0.229,7,0.32183908,0.490757665,341221,0.3,0.777777778,21.23,8,Poincare Publisher,0
Measurement,0.327,23,0.791666667,0.528469046,249906,0.047619048,0.520833333,43.88,16,Taylor and Francis Ltd.,1
Recta,0.127,6,0.111111111,0.249666038,108982,0.4,0.8,35.4,14,ASEPUMA,0
Eastern-European Journal of Enterprise Technologies,0.288,41,0.999416569,0.573113524,7506550,0.320809249,0.512835473,25.96,13,Technology Center,0
Model Assisted Statistics and Applications,0.182,15,0.564705882,0.357038726,376445,0.148148148,0.701030928,26.38,19,SAGE Publications Ltd,0
Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria,0.142,12,0.384,0.224772869,520388,0.076923077,0.744186047,22.02,17,Scipedia S.L.,0
Computational Methods and Function Theory,0.448,22,1.276422764,1.165237621,648252,0.032051282,0.641221374,20.43,22,Springer Verlag,1
SOCAR Proceedings,0.315,31,1.923076923,0.909616889,1605984,0.786561265,0.498680739,28.21,15,Oil Gas Scientific Research Project Institute,1
IEEE Signal Processing Letters,1.271,167,3.842969308,1.298120696,7363682,0.064070742,0.164106145,29.79,32,Institute of Electrical and Electronics Engineers Inc.,1
Dongbei Daxue Xuebao/Journal of Northeastern University,0.193,22,0.572727273,0.360314852,3153757,0.105476673,0.607792208,19.38,27,Northeast University,1
Biomath,0.178,7,0.896551724,0.436251474,98290,0,0.5,27,7,Institute of Mathematics and Informatics Bulgarian Academy of Sciences,0
South East Asian Journal of Mathematics and Mathematical Sciences,0.211,5,0.179487179,0.226900753,767432,0.402597403,0.81570997,17.6,6,RAMANUJAN SOCIETY OF MATHEMATICS AND MATHEMATICAL SCIENCES,0
Glottometrics,0.178,6,0.310344828,0.342046798,169772,0.3,0.733333333,43,8,International Quantitative Linguistics Association,0
"Mathematics in Engineering, Science and Aerospace",0.187,14,0.621848739,0.372678965,927200,0.097297297,0.711297071,27.96,7,Cambridge Scientific Publishers,0
Applicationes Mathematicae,0.107,2,0.085714286,0.065528805,109501,0,0.942857143,18.62,6,Institute of Mathematics. Polish Academy of Sciences,0
Contemporary Mathematics (Singapore),0.158,13,0.369047619,0.387918372,208475,0.055555556,0.738095238,30.34,7,Universal Wiser Publisher,0
