Title,SJR,H index,IPP,SNIP,Total Docs. (2023),Total Docs. (3years),Total Refs.,Est. value (USD) (2023),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher,Labels
IEEE Transactions on Parallel and Distributed Systems,2.34,166,5.346701164,2.023231749,234,798,10914,4385866,5231,0.045689161,0.147869674,791,6.87,46.64,36,IEEE Computer Society,1
Advanced Healthcare Materials,2.337,159,13.8631678,3.047994483,888,1399,63600,10084032,15052,0.034148286,0.032880629,1377,10.27,71.62,14,John Wiley and Sons Inc,1
Oncogene,2.334,380,7.221586848,1.368220113,314,1436,17308,9000480,9713,0.009368887,0.092618384,1430,6.45,55.12,39,Springer Nature,1
Chemical Science,2.333,241,7.724099099,1.430889798,1436,4458,93155,29362201,35107,0.035861794,0.048452221,4441,7.42,64.87,16,Royal Society of Chemistry,1
Current Opinion in Psychiatry,2.333,117,7.282407407,1.994413161,70,236,3432,1438251,1713,0.006421483,0.173728814,218,7.15,49.03,38,Lippincott Williams and Wilkins Ltd.,1
International Journal of Rock Mechanics and Mining Sciences,2.331,214,10.46783096,2.604225636,242,831,13056,4837789,6798,0.05913504,0.049338147,831,7.61,53.95,44,Elsevier B.V.,1
Geology,2.33,259,5.03276699,1.56120391,224,836,6970,5454466,4338,0.020285846,0.131578947,829,4.97,31.12,53,Geological Society of America,1
Current Opinion in Chemical Biology,2.328,210,6.769968051,1.432430942,129,337,7727,2345922,2289,0.01310616,0.106824926,313,6.6,59.9,29,Elsevier Ltd,1
Materials Futures,2.328,24,9.695652174,2.036975236,42,48,3825,163403,461,0.034707158,0.020833333,46,9.6,91.07,4,Institute of Physics,1
Modern Pathology,2.328,187,7.128205128,2.300898054,229,799,9235,4842957,4859,0.040954929,0.204005006,745,5.59,40.33,38,Elsevier B.V.,1
Transportation Research Part D: Transport and Environment,2.328,150,11.23717325,2.699853969,356,1058,22456,6356420,9409,0.095759379,0.04536862,1041,8.01,63.08,30,Elsevier Ltd,1
Probability Theory and Related Fields,2.326,94,1.995535714,1.505339022,75,223,2723,1533275,430,0.034883721,0.32735426,221,1.6,36.31,40,Springer New York,1
Personality and Social Psychology Bulletin,2.325,240,5.332326284,2.215499554,166,331,11006,2375789,1714,0.03033839,0.087613293,330,4.74,66.3,33,SAGE Publications Inc.,1
European Journal of Operational Research,2.321,319,7.142414861,2.581238209,702,1943,38000,12859740,13865,0.100324558,0.095728255,1934,6.86,54.13,49,Elsevier B.V.,1
Journal of Neuroscience,2.321,515,4.849651972,1.36628376,660,2244,43867,14913841,10517,0.037843491,0.130124777,2207,4.18,66.47,45,Society for Neuroscience,1
Energy Research and Social Science,2.32,129,7.247004608,1.766367969,368,1274,32128,7413744,10611,0.130242201,0.06122449,1274,7.65,87.3,12,Elsevier Ltd,1
Current Forestry Reports,2.316,53,10.85714286,2.754134803,31,62,3769,413303,683,0.061493411,0.080645161,62,9.08,121.58,11,Springer Science and Business Media Deutschland GmbH,1
Emerging Microbes and Infections,2.316,104,9.006033183,1.65330095,246,807,10702,4865699,7184,0.018930958,0.074349442,668,7.95,43.5,14,Taylor and Francis Ltd.,1
Science China Chemistry,2.316,92,8.272853186,1.126980694,348,784,24627,5087827,6184,0.074385511,0.099489796,726,8.44,70.77,16,Science China Press,1
IEEE Transactions on Control of Network Systems,2.313,77,4.554323725,1.652663303,186,506,6735,3189387,2355,0.070488323,0.162055336,502,4.18,36.21,12,Institute of Electrical and Electronics Engineers Inc.,1
CSEE Journal of Power and Energy Systems,2.309,47,6.915531335,2.412318023,211,391,8102,2020066,3239,0.081506638,0.084398977,391,7.89,38.4,5,China Electric Power Research Institute,1
Journal of Materials Science and Technology,2.309,143,11.34974315,2.167856948,804,2399,54849,13453934,27080,0.064549483,0.0237599,2335,11.52,68.22,33,Chinese Society of Metals,1
Cell Communication and Signaling,2.308,98,8.508196721,1.569053574,350,494,30421,3771342,4242,0.010843942,0.074898785,491,7.98,86.92,23,BioMed Central Ltd,1
Reviews in Medical Virology,2.307,110,9.724696356,1.74610958,97,276,8869,1655463,2681,0.005594927,0.134057971,247,9.82,91.43,35,John Wiley and Sons Ltd,1
Journals of Gerontology - Series B Psychological Sciences and Social Sciences,2.305,186,5.484693878,1.775911392,213,798,10495,4393629,4491,0.05922957,0.126566416,780,5.42,49.27,31,Gerontological Society of America,1
Materials Today Physics,2.304,80,9.875605816,1.632889179,335,617,22987,4017597,6197,0.060351783,0.037277147,617,10.01,68.62,9,Elsevier Ltd,1
Journal of the Association for Information Systems,2.302,108,7.237179487,2.383924628,53,180,5597,1128644,1572,0.055979644,0.072222222,157,8.35,105.6,19,Association for Information Systems,1
IEEE Transactions on Circuits and Systems for Video Technology,2.299,195,8.681390297,2.332003439,598,1432,36090,8384461,13430,0.196053611,0.056564246,1420,9.39,60.35,35,Institute of Electrical and Electronics Engineers Inc.,1
Natural Product Reports,2.297,218,10.19354839,2.772351792,65,278,11555,1670978,2977,0.003359086,0.064748201,276,10.33,177.77,42,Royal Society of Chemistry,1
American Journal of Ophthalmology,2.296,221,4.730237154,1.99042217,318,1244,10431,7576693,5053,0.04512171,0.237942122,1011,4.02,32.8,108,Elsevier Inc.,1
Earth and Planetary Science Letters,2.294,301,5.054246966,1.463573115,390,1426,25118,9165664,7320,0.052459016,0.081346424,1407,4.95,64.41,60,Elsevier B.V.,1
American Journal of Sociology,2.29,214,4,2.783891502,51,98,4612,734228,419,0.035799523,0.132653061,95,3.18,90.43,66,University of Chicago,1
Light: Advanced Manufacturing,2.288,28,8.365853659,4.295738683,41,88,2974,159004,776,0.034793814,0.113636364,82,9.13,72.54,6,Light Publishing Group,1
Sustainable Development,2.283,106,14.47956403,2.552526884,260,368,21253,2598471,5004,0.110311751,0.051630435,363,13.77,81.74,33,John Wiley and Sons Ltd,1
Bone and Joint Journal,2.28,216,4.739071038,2.165652541,187,800,6001,4927190,3788,0.100580781,0.13375,740,4.71,32.09,13,British Editorial Society of Bone and Joint Surgery,1
European Journal of Nuclear Medicine and Molecular Imaging,2.28,192,7.415832575,1.800347209,443,1374,15133,8232596,8769,0.083133767,0.171761281,1102,6.88,34.16,28,Springer Verlag,1
Geochimica et Cosmochimica Acta,2.278,294,5.119136262,1.424372971,351,1395,33346,8668758,6933,0.124765614,0.113978495,1390,4.34,95,76,Elsevier Ltd,1
Journal of Modern Power Systems and Clean Energy,2.278,77,6.646118721,2.023432139,177,442,6631,2786409,3623,0.076455976,0.049773756,440,7.38,37.46,13,State Grid Electric Power Research Institute Nanjing Branch,1
Quantum Science and Technology,2.276,62,5.850282486,1.487570589,134,357,8292,2223048,2322,0.036606374,0.092436975,356,6.2,61.88,10,Institute of Physics Publishing,1
npj Breast Cancer,2.275,54,6.099706745,1.341429459,95,344,4112,1942851,1987,0.022647207,0.069767442,337,5.67,43.28,11,Nature Publishing Group,1
Cellular and Molecular Life Sciences,2.274,271,6.969387755,1.46240469,367,1374,28412,8120131,9903,0.004947996,0.053129549,1363,6.55,77.42,31,Springer Science and Business Media Deutschland GmbH,1
Gender and Society,2.273,132,6.523809524,3.213236867,31,111,2000,669967,754,0.025198939,0.117117117,105,7.31,64.52,39,SAGE Publications Inc.,1
BMC Dermatology,2.272,45,4.541666667,3.181881507,0,24,0,133544,118,0,0,24,0,0,20,BioMed Central Ltd,1
Molecular Cancer Therapeutics,2.27,206,5.08974359,1.015976668,114,643,5561,3814828,3347,0.011652226,0.102643857,630,5.06,48.78,25,American Association for Cancer Research Inc.,1
Clinical Psychological Science,2.269,79,5.668181818,2.061244536,68,227,5424,1587998,1267,0.023677979,0.158590308,221,5.68,79.76,13,SAGE Publications Inc.,1
Service Industries Journal,2.268,93,10.80722892,2.245422833,55,152,5317,955500,1663,0.091401082,0.052631579,147,10.22,96.67,43,Taylor and Francis Ltd.,1
Fiscal Studies,2.267,53,6.253164557,2.160912946,33,83,1207,498812,533,0.003752345,0.240963855,77,2.06,36.58,47,Wiley-Blackwell,1
EuroIntervention,2.266,101,4.478,1.7390983,229,771,4007,4608382,2757,0.064200218,0.428015564,546,3.83,17.5,18,Europa Group,1
Swarm and Evolutionary Computation,2.266,109,9.268656716,2.351544783,154,405,9027,2959471,3884,0.091915551,0.074074074,401,8.78,58.62,15,Elsevier B.V.,1
British Journal of Management,2.265,142,7.470046083,2.029772243,108,221,10616,1455486,1583,0.102969046,0.049773756,217,6.02,98.3,36,Wiley-Blackwell Publishing Ltd,1
Journal of Adolescent Health,2.265,204,6.110981308,1.901397796,382,1058,12141,6661231,5609,0.05277233,0.230623819,872,4.45,31.78,35,Elsevier Inc.,1
Antipode,2.263,127,5.079422383,2.754969363,100,270,7221,1735717,1496,0.065508021,0.144444444,269,4.82,72.21,57,Wiley-Blackwell Publishing Ltd,1
International Journal of Transgender Health,2.263,60,9.474358974,3.761077911,48,91,2457,368394,872,0.052752294,0.065934066,84,11.13,51.19,6,Routledge,1
ACM Transactions on Information Systems,2.262,100,5.885416667,3.232115756,177,193,12509,1504939,1645,0.139817629,0.07253886,192,7.35,70.67,42,Association for Computing Machinery (ACM),1
IEEE Transactions on Multimedia,2.26,163,8.595767196,2.510227765,790,955,45895,7502505,8867,0.19251156,0.051308901,951,8.9,58.09,27,Institute of Electrical and Electronics Engineers Inc.,1
Modern Language Journal,2.259,123,4.639344262,2.297343959,52,155,3173,1096173,647,0.047913447,0.277419355,125,3.63,61.02,107,Wiley-Blackwell,1
Journal of Clinical Immunology,2.258,119,6.285294118,1.78189551,242,602,6918,3594728,2531,0.086922165,0.239202658,344,4.45,28.59,45,Springer,1
Research on Language and Social Interaction,2.258,77,3.596774194,2.748819565,15,62,969,384875,304,0.036184211,0.096774194,62,4.13,64.6,37,Routledge,1
Basic Research in Cardiology,2.256,113,7.265957447,1.564464378,48,203,4505,1099380,1424,0.050561798,0.0591133,189,6.83,93.85,53,Springer Science and Business Media Deutschland GmbH,1
Review of International Political Economy,2.256,92,5.893518519,3.105868933,102,222,8277,1424137,1423,0.12227688,0.117117117,216,5.34,81.15,32,Routledge,1
World Development,2.253,233,6.564564565,2.411750384,212,1108,16211,6196018,7371,0.029982363,0.110108303,1001,6.26,76.47,53,Elsevier B.V.,1
European Economic Review,2.251,154,3.432727273,1.805141615,216,552,11451,3462637,1843,0.036353771,0.217391304,549,2.9,53.01,57,Elsevier B.V.,1
Advances in Nutrition,2.249,145,9.170114943,2.30788382,116,498,11002,2911646,4208,0.015922053,0.178714859,438,7.52,94.84,16,Elsevier B.V.,1
JCO Precision Oncology,2.249,56,4.314606742,1.224572646,223,394,7151,3275726,1693,0.03012404,0.205583756,355,4.63,32.07,9,Lippincott Williams and Wilkins,1
Journal of Clinical Periodontology,2.249,187,8.079254079,2.662941333,153,446,7252,2966120,3153,0.08214399,0.080717489,430,6.11,47.4,52,Blackwell Munksgaard,1
Schizophrenia Bulletin,2.249,228,6.073563218,1.849186482,192,522,10863,3577212,2790,0.053405018,0.166666667,473,4.97,56.58,52,Oxford University Press,1
Technology in Society,2.249,112,12.04921969,2.539381532,228,835,18461,4049928,10347,0.060114043,0.045508982,834,11.85,80.97,47,Elsevier Ltd,1
Climate of the Past,2.247,102,4.055979644,1.221646302,122,394,11360,2387322,1701,0.149911817,0.086294416,394,3.94,93.11,21,Copernicus Publications,1
npj Quantum Materials,2.247,58,5.555194805,1.455093861,73,313,4083,1787970,1674,0.061529271,0.092651757,309,5.12,55.93,10,Nature Publishing Group,1
Climate Policy,2.245,93,6.414285714,1.986747206,95,292,5928,1863837,2088,0.05316092,0.089041096,280,6.64,62.4,25,Taylor and Francis Ltd.,1
Circulation: Cardiovascular Interventions,2.242,122,4.716666667,1.80186153,107,490,2584,2995408,2048,0.024902344,0.27755102,359,4.15,24.15,18,Lippincott Williams and Wilkins Ltd.,1
Journal of Cardiovascular Magnetic Resonance,2.242,119,5.715753425,2.018785049,81,293,3307,1769106,1642,0.063337393,0.153583618,293,4.16,40.83,27,Elsevier B.V.,1
Information Sciences,2.238,243,7.819723086,2.111345299,1361,3553,61156,21769359,29586,0.126174542,0.060230791,3542,7.89,44.93,58,Elsevier Inc.,1
AMS Review,2.236,33,8.74,3.398717353,23,90,1905,304761,498,0.080321285,0.266666667,50,2.73,82.83,15,Springer New York,1
Advanced Industrial and Engineering Polymer Research,2.234,38,16.20289855,3.74606569,33,78,2876,326627,1253,0.007182761,0.205128205,69,10.34,87.15,8,KeAi Communications Co.,1
Annual Review of Food Science and Technology,2.233,104,14.77977286,3.362900417,24,64,3341,443902,877,0.007981756,0.03125,63,11.85,139.21,15,Annual Reviews Inc.,1
American Educational Research Journal,2.232,151,5.057971014,2.818006164,35,142,2674,991953,715,0.016783217,0.11971831,141,4.35,76.4,33,SAGE Publications Ltd,1
Applied and Computational Harmonic Analysis,2.231,100,2.384259259,1.68140612,75,241,3007,1356631,748,0.054812834,0.286307054,216,3.1,40.09,33,Academic Press Inc.,1
Adolescent Research Review,2.229,42,7.109589041,2.732299642,24,75,1834,432079,501,0.003992016,0.146666667,74,5.38,76.42,10,Springer International Publishing AG,1
Cellular and Molecular Biology Letters,2.229,73,9.274193548,1.475759061,100,199,7682,1325600,1821,0.067545305,0.040201005,186,8.79,76.82,30,BioMed Central Ltd,1
Economic Policy,2.229,94,4.450980392,2.563850698,55,98,1183,699171,228,0.013157895,0.551020408,55,2.44,21.51,38,Oxford University Press,1
Journal of the American Planning Association,2.228,119,6.67826087,2.619671737,46,168,3038,977375,801,0.063670412,0.327380952,117,3.1,66.04,91,Taylor and Francis Ltd.,1
Epilepsia,2.227,228,6.003588517,1.995551311,356,922,15779,6074469,5280,0.096401515,0.147505423,846,6.15,44.32,91,Wiley-Blackwell Publishing Ltd,1
Group Processes and Intergroup Relations,2.225,97,5.141176471,1.87100723,91,260,6339,1525996,1291,0.03253292,0.126923077,254,5.3,69.66,28,SAGE Publications Ltd,1
Journal of Personality,2.223,172,5.638392857,2.26964621,91,224,6449,1540362,1253,0.036711891,0.084821429,223,4.78,70.87,94,Wiley-Blackwell Publishing Ltd,1
PLoS Pathogens,2.223,260,5.509451796,1.236642003,648,2155,44638,13564541,12112,0.033520476,0.083990719,2137,5.43,68.89,21,Public Library of Science,1
IEEE Transactions on Dependable and Secure Computing,2.222,107,6.348314607,2.405913558,358,591,17821,3838421,4238,0.050023596,0.096446701,589,7.05,49.78,22,Institute of Electrical and Electronics Engineers Inc.,1
Nano Convergence,2.222,58,11.2,1.841789024,54,134,4900,834065,1587,0.013862634,0.037313433,134,13.2,90.74,12,SpringerOpen,1
Policy and Society,2.221,63,8.633663366,3.189935006,34,103,2205,629588,1050,0.012380952,0.058252427,101,7.36,64.85,19,Oxford University Press,1
Statistical Science,2.221,125,3.759124088,2.439842125,42,142,2438,922827,552,0.018115942,0.387323944,140,3.83,58.05,39,Institute of Mathematical Statistics,1
Knowledge-Based Systems,2.219,188,8.388380282,2.225935628,897,2840,49776,15665409,26048,0.067951474,0.067957746,2839,8.57,55.49,39,Elsevier B.V.,1
PLoS Genetics,2.219,282,4.214331414,1.084328967,413,1603,29330,10386464,6728,0.02244352,0.129132876,1588,3.9,71.02,21,Public Library of Science,1
Shiyou Xuebao/Acta Petrolei Sinica,2.219,87,4.868235294,1.962616833,160,425,7463,2701506,2273,0.206775187,0.122352941,425,5.54,46.64,32,Science Press,1
Social and Personality Psychology Compass,2.218,90,5.716216216,2.102620311,157,154,6540,1390150,886,0.011286682,0.168831169,151,5.19,41.66,15,John Wiley and Sons Inc,1
Hepatology Communications,2.217,60,5.423280423,1.181104305,317,630,13125,2982627,3417,0.025460931,0.138095238,568,5.28,41.4,9,Lippincott Williams and Wilkins,1
Advanced Optical Materials,2.216,163,8.467052538,1.552897914,985,2256,57153,15031544,19317,0.061552001,0.045212766,2244,8.32,58.02,13,John Wiley &amp; Sons Inc.,1
Blood Reviews,2.216,118,6.696517413,1.951063693,82,202,9639,1341021,1504,0.017952128,0.059405941,201,7.34,117.55,39,Churchill Livingstone,1
Journal of Molecular Biology,2.212,302,4.811072056,1.041091454,283,1178,21557,7262966,5699,0.020003509,0.155348048,1142,4.75,76.17,67,Academic Press,1
Decision Support Systems,2.211,192,8.697329377,2.612519497,92,339,5936,2051885,3088,0.052784974,0.053097345,336,7.88,64.52,41,Elsevier B.V.,1
Autism,2.21,132,7.071969697,2.348197931,200,556,11595,3551653,3576,0.100111857,0.080935252,529,5.6,57.98,29,SAGE Publications Ltd,1
IEEE Transactions on Energy Conversion,2.21,207,5.372005044,2.026951383,265,823,7903,4912626,5424,0.06729351,0.05346294,819,6.29,29.82,40,Institute of Electrical and Electronics Engineers Inc.,1
"Accounting, Organizations and Society",2.208,164,5.605504587,2.748937273,34,111,2918,697208,561,0.046345811,0.09009009,108,3.72,85.82,50,Elsevier Ltd,1
Ultrasound in Obstetrics and Gynecology,2.207,178,5.590909091,2.342655957,259,915,7284,5951959,3681,0.099972833,0.290710383,545,3.75,28.12,35,John Wiley and Sons Ltd,1
European Heart Journal - Quality of Care and Clinical Outcomes,2.206,42,6.47848728,2.147876054,96,261,3185,1551804,1085,0.034101382,0.283524904,204,4.57,33.18,11,Oxford University Press,1
Virtual and Physical Prototyping,2.206,78,11.97037037,2.203542095,144,137,10200,1180205,1683,0.121212121,0.02189781,135,11.05,70.83,20,Taylor and Francis Ltd.,1
Translational Psychiatry,2.203,137,6.381830151,1.456960299,393,1541,28812,8816279,9832,0.022172498,0.096690461,1526,5.73,73.31,15,Springer Nature,1
Corporate Social Responsibility and Environmental Management,2.201,129,12.44705882,2.55937418,212,510,18326,3131570,5848,0.113201094,0.029411765,508,9.98,86.44,23,John Wiley and Sons Ltd,1
European Stroke Journal,2.201,42,6.108433735,2.318637004,144,173,3787,1365139,858,0.054778555,0.289017341,151,5.74,26.3,10,SAGE Publications Inc.,1
Reading Research Quarterly,2.198,111,5.260115607,3.015828883,41,189,3382,992453,1042,0.03646833,0.169312169,173,4.47,82.49,30,Wiley-Blackwell,1
The Lancet Regional Health - Western Pacific,2.197,41,7.15039484,2.001901834,314,557,10676,3113896,2689,0.030494608,0.219030521,337,4.76,34,6,Elsevier Ltd,1
Mobile DNA,2.196,48,3.988095238,0.976071508,22,87,1474,615222,339,0.02359882,0.298850575,85,4.14,67,16,BioMed Central Ltd,1
Clinical Reviews in Allergy and Immunology,2.195,108,9.582417582,2.787037513,48,182,6881,1111026,1836,0.001089325,0.043956044,182,8.79,143.35,31,Springer,1
IEEE Intelligent Systems,2.195,145,6.594736842,2.126337958,51,207,913,1063450,1618,0.009888752,0.188405797,197,6.94,17.9,25,Institute of Electrical and Electronics Engineers Inc.,1
Journal of Pineal Research,2.194,170,9.295857988,1.871651389,53,180,3590,1167550,1610,0.040372671,0.066666667,169,8.61,67.74,42,Wiley-Blackwell Publishing Ltd,1
IEEE Transactions on Control Systems Technology,2.193,198,5.39668175,2.05121747,241,686,9564,4451990,4221,0.037431888,0.075801749,685,5.82,39.68,33,Institute of Electrical and Electronics Engineers Inc.,1
Financial Analysts Journal,2.191,95,3.767857143,2.392753463,30,85,989,509285,286,0.024475524,0.294117647,76,3.36,32.97,30,Taylor and Francis Ltd.,1
British Journal of Social Psychology,2.19,120,5.497435897,2.036382737,111,202,7713,1375659,1077,0.061281337,0.118811881,197,4.13,69.49,45,Wiley-Blackwell,1
Psychiatry Research,2.189,187,7.438690476,1.834080998,543,1964,27041,11845922,14346,0.017496166,0.195010183,1686,4.47,49.8,47,Elsevier Ireland Ltd,1
Journal of Behavioral Addictions,2.188,88,6.996441281,1.603592349,82,284,4845,1686240,1951,0.072783188,0.073943662,283,6.08,59.09,14,Akademiai Kiado,1
Transportation Research Part A: Policy and Practice,2.182,182,9.069748568,2.270735419,248,837,15212,5277114,6512,0.071713759,0.056152927,830,6.73,61.34,34,Elsevier Ltd,1
Superconductivity,2.181,14,5.1,2.195822871,33,30,1439,126853,167,0.131736527,0,29,5.57,43.61,4,Elsevier B.V.,1
"Scandinavian Journal of Work, Environment and Health",2.179,123,4.52688172,1.701743426,65,216,2607,1294457,1032,0.093992248,0.111111111,185,4.63,40.11,51,Finnish Institute of Occupational Health,1
Journal of International Marketing,2.178,110,6.166666667,1.507709394,24,67,2260,427403,348,0.117816092,0.119402985,60,5.11,94.17,31,American Marketing Association,1
Plant Journal,2.176,327,6.954887218,1.650288075,416,1409,30028,8588283,9775,0.029053708,0.097232079,1340,6.52,72.18,35,Wiley-Blackwell Publishing Ltd,1
European Child and Adolescent Psychiatry,2.175,124,6.753846154,2.195908026,230,510,11232,3316843,3145,0.036565978,0.178431373,442,6.38,48.83,34,Springer Science and Business Media Deutschland GmbH,1
Tunnelling and Underground Space Technology,2.174,155,7.841194969,2.421833556,575,1279,27325,8505003,10289,0.165905336,0.039874902,1273,7.5,47.52,40,Elsevier Ltd,1
Carbon,2.171,346,10.96243618,1.72055336,894,2814,55604,18547486,30459,0.064874093,0.05010661,2752,11.08,62.2,63,Elsevier Ltd,1
Government Information Quarterly,2.171,144,9.395555556,2.978537217,82,228,7418,1481504,2369,0.101730688,0.026315789,225,9.69,90.46,42,Elsevier Ltd,1
Foundations and Trends in Accounting,2.169,21,5,2.025707563,3,8,481,47884,42,0,0.25,8,2,160.33,17,Now Publishers Inc,1
Journal of Occupational Health Psychology,2.169,155,6.169811321,1.732212276,28,114,2470,787313,696,0.043103448,0.035087719,113,5.42,88.21,29,Educational Publishing Foundation,1
Conservation Biology,2.168,257,6.143157895,1.98893121,141,524,8936,3166184,3122,0.032351057,0.131679389,476,5.64,63.38,39,Wiley-Blackwell Publishing Ltd,1
IEEE Transactions on Network Science and Engineering,2.167,69,6.473684211,1.741481637,319,904,14104,4462066,6338,0.0725781,0.127212389,876,7.26,44.21,12,IEEE Computer Society,1
Mathematical Models and Methods in Applied Sciences,2.167,97,3.452488688,1.551739092,74,222,3819,1438169,812,0.141625616,0.171171171,221,3.57,51.61,30,World Scientific Publishing Co. Pte Ltd,1
Business Ethics Quarterly,2.165,99,4.444444444,2.215511734,28,70,2384,440831,283,0.106007067,0.228571429,63,3.47,85.14,30,Cambridge University Press,1
Group and Organization Management,2.165,105,6.276190476,2.039369928,70,103,6585,762587,620,0.053225806,0.126213592,92,5.95,94.07,50,SAGE Publications Inc.,1
Limnology and Oceanography Letters,2.164,44,5.609850954,1.750189492,86,144,5397,740462,882,0.036281179,0.069444444,15,4.01,62.76,10,John Wiley and Sons Inc,1
Open Biology,2.164,84,5.569711538,1.315323847,97,425,7835,2397974,2416,0.006208609,0.176470588,417,4.31,80.77,15,Royal Society Publishing,1
Rhinology,2.163,77,4.398809524,1.382240438,72,240,2418,1411500,1612,0.062034739,0.2375,185,3.8,33.58,53,University Hospital Utrecht,1
SIAM Journal on Numerical Analysis,2.163,158,2.941333333,1.729432488,115,373,4526,2356602,1085,0.057142857,0.219839142,373,2.59,39.36,50,Society for Industrial and Applied Mathematics Publications,1
Political Psychology,2.161,125,5.172774869,2.182063175,65,197,4143,1348607,1043,0.032598274,0.116751269,194,5.15,63.74,30,Wiley-Blackwell Publishing Ltd,1
Energy and AI,2.16,44,10.9125,2.290979294,100,164,5416,896769,2107,0.069292833,0.036585366,160,12.14,54.16,6,Elsevier B.V.,1
Pharmacological Research,2.16,183,9.400906736,1.714838615,403,1658,39567,9187094,15140,0.017767503,0.076598311,1546,8.77,98.18,37,Academic Press,1
npj Parkinson's Disease,2.159,56,6.912225705,1.504669091,159,326,9890,1896343,2283,0.045116075,0.064417178,317,6.48,62.2,11,Springer Nature,1
IEEE Open Journal of the Computer Society,2.158,24,6.154761905,1.611529884,27,86,1412,103586,759,0.007905138,0.162790698,85,7.98,52.3,6,Institute of Electrical and Electronics Engineers Inc.,1
Journal of Teacher Education,2.158,117,5.269565217,3.154786381,49,129,2221,890396,708,0.046610169,0.085271318,115,4.6,45.33,76,SAGE Publications Inc.,1
Journal of Controlled Release,2.157,327,11.0625,1.559451887,663,1816,58562,11208494,20559,0.040906659,0.036343612,1797,10.83,88.33,42,Elsevier B.V.,1
Social Media and Society,2.156,82,6.534988713,2.510536978,193,447,12198,2848464,3122,0.063741192,0.100671141,447,5.85,63.2,11,SAGE Publications Ltd,1
International Endodontic Journal,2.155,157,6.019650655,2.339997503,149,524,8336,3186365,2835,0.158024691,0.152671756,457,5.53,55.95,58,Wiley-Blackwell Publishing Ltd,1
Postdigital Science and Education,2.155,36,7.666666667,3.22541064,66,186,2397,450443,1405,0.081850534,0.204301075,96,6.13,36.32,7,Springer International Publishing AG,1
Journal of Rock Mechanics and Geotechnical Engineering,2.154,87,8.773333333,2.649111724,229,380,13558,2603355,3358,0.061941632,0.044736842,376,9.65,59.21,13,Chinese Academy of Sciences,1
Current Psychiatry Reports,2.151,125,6.756756757,2.175278554,75,260,5355,1799242,1875,0.0112,0.096153846,260,6.07,71.4,28,"Current Science, Inc.",1
Bulletin of the American Meteorological Society,2.149,244,5.744604317,1.788656986,187,838,8751,4922705,3426,0.051371862,0.417661098,742,3.86,46.8,54,American Meteorological Society,1
British Journal of Surgery,2.148,234,5.739770867,2.269287952,432,1540,7318,8794700,4391,0.046230927,0.48961039,654,2.63,16.94,113,Oxford University Press,1
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,2.147,79,9.149606299,3.411377341,30,131,3989,784268,1554,0.010939511,0.160305344,130,9.48,132.97,15,John Wiley &amp; Sons Inc.,1
Decision Sciences,2.145,129,7.340425532,2.035723211,34,134,2130,760117,1047,0.022922636,0.141791045,133,5.05,62.65,56,Wiley-Blackwell Publishing Ltd,1
IEEE Transactions on Automation Science and Engineering,2.144,122,6.430842607,2.069713097,233,642,9091,3823826,4592,0.06097561,0.087227414,635,6.53,39.02,22,Institute of Electrical and Electronics Engineers Inc.,1
Journal of Ecology,2.144,219,5.886235955,1.700000098,194,718,16494,4395606,4339,0.043558424,0.06545961,713,5.7,85.02,48,Wiley-Blackwell Publishing Ltd,1
Briefings in Bioinformatics,2.143,159,7.176004872,1.497364762,560,1643,31755,9419477,12566,0.081410154,0.108947048,1636,7.5,56.71,26,Oxford University Press,1
SIAM Journal on Computing,2.143,131,2.201086957,1.70387503,61,190,2690,1157378,479,0.033402923,0.294736842,186,1.9,44.1,42,Society for Industrial and Applied Mathematics Publications,1
New Political Economy,2.141,77,5.457711443,2.297101688,60,203,4866,1149455,1232,0.068993506,0.147783251,202,5.24,81.1,30,Routledge,1
ImmunoTargets and Therapy,2.14,29,7.590163934,1.771791678,14,63,768,178152,510,0.001960784,0.015873016,62,6.83,54.86,11,Dove Medical Press Ltd.,1
American Journal of Public Health,2.139,321,4.884386174,1.776153715,286,1690,5048,9955544,6090,0.019376026,0.337278107,962,2.83,17.65,70,American Public Health Association Inc.,1
Atmospheric Chemistry and Physics,2.138,267,5.512708499,1.29101525,721,2530,58052,16025557,14754,0.188423478,0.061660079,2530,5.4,80.52,26,Copernicus Publications,1
SIAM Journal on Optimization,2.138,152,3.410614525,2.268606231,114,358,4948,2332016,1260,0.063492063,0.209497207,358,2.99,43.4,31,Society for Industrial and Applied Mathematics Publications,1
International Journal of Information Management Data Insights,2.137,48,9.656934307,3.295171554,65,137,5733,582655,2158,0.15987025,0.02189781,137,15.75,88.2,5,Elsevier B.V.,1
Stanford Law Review,2.137,83,1.625,1.7427198,25,72,1804,390616,170,0.005882353,0.305555556,60,2.19,72.16,42,Stanford Law School,1
American Journal of Agricultural Economics,2.136,139,5.06147541,2.004923518,63,261,3719,1528441,1232,0.038149351,0.164750958,247,5.26,59.03,107,John Wiley &amp; Sons Inc.,1
Gastric Cancer,2.136,106,6.937304075,2.210855088,88,337,3347,2180428,2189,0.027409776,0.145400593,319,6.83,38.03,26,Springer Japan,1
